holdout_type,holdout_group,landmark_cycle,horizon_cycle,recalibration_fraction,n_splits,seed,target_cells_total,target_events_total,labelled_cells,events_in_subset,events_in_subset_min,events_in_subset_max,one_class_share,sd_eta,mean_eta,n_eff_mean,n_eff_median,n_eff_p05,n_eff_p95,se_slope_at_mean_neff,log_loss_before,log_loss_after,log_loss_gain,se
chemistry,LFP,150,500,0.3,100,20260702,232,26,70.0,7.64,4,15,0.0,0.3660156543721813,-1.5010102761812965,2.75038336432216,2.72565906885834,1.903989885579276,3.550525463257617,0.6029806612979303,0.3193273347202233,0.2671002509554934,0.0522270837647299,0.6029806612979302
chemistry,LFP,150,800,0.3,100,20260702,206,43,62.0,12.99,7,20,0.0,0.2271737213998691,-0.958230298452891,1.1513614051421903,1.1350523943617112,0.7181934107220896,1.6451763417416712,0.9319533339871556,0.5076008672103967,0.4947040525029526,0.0128968147074442,0.9319533339871557
chemistry,LFP,150,1000,0.3,100,20260702,174,44,53.0,13.39,7,19,0.0,0.2560562280394604,-0.6943953810925203,1.447754291496636,1.4105909950146351,0.8493540167270742,2.198726780869024,0.8310986359476018,0.6417160760825067,0.5858081302453446,0.0559079458371621,0.831098635947602
chemistry,LFP,200,500,0.3,100,20260702,231,25,70.0,7.42,3,14,0.0,0.3997304271282326,-1.63949805359919,2.991223820370186,3.027012063747666,2.108925153369197,3.828551431258457,0.5781966148419644,0.2947616229343737,0.236937610406791,0.0578240125275827,0.5781966148419644
chemistry,LFP,200,800,0.3,100,20260702,205,42,62.0,12.82,7,20,0.0,0.2351724470035524,-1.03126854098042,1.2010754018539438,1.185446377219019,0.7005360250739813,1.838181091285288,0.9124621609445692,0.491345422024057,0.4791979930082828,0.0121474290157742,0.9124621609445692
chemistry,LFP,200,1000,0.3,100,20260702,173,43,52.0,12.89,6,21,0.0,0.2537610059757737,-0.7490443088064259,1.3591640393418012,1.2392297469293292,0.8514188561040225,2.1256833874718715,0.857756587839113,0.6275746553726782,0.5923870757306378,0.0351875796420404,0.857756587839113
chemistry,LFP,300,500,0.3,100,20260702,231,25,70.0,7.65,3,12,0.0,0.4709126626217833,-1.977356284254334,3.368110362946625,3.4447098804927867,2.354309833058376,4.215355300394731,0.5448874976437398,0.2670344425145887,0.2696981096156834,-0.0026636671010947,0.5448874976437398
chemistry,LFP,300,800,0.3,100,20260702,205,42,62.0,12.68,7,20,0.0,0.2484122572984077,-1.2054661617488174,1.16231690000442,1.141277744033295,0.7644834411382073,1.681135652023245,0.927550841517314,0.4820796040425661,0.5039569675607024,-0.0218773635181362,0.9275508415173139
chemistry,LFP,300,1000,0.3,100,20260702,173,43,52.0,12.81,7,20,0.0,0.2921741529926672,-0.8857570093219631,1.625345804794896,1.5551335226435317,0.8898161345272235,2.5910013965808294,0.7843810856876045,0.6271504444805369,0.5737692300592462,0.0533812144212908,0.7843810856876045
chemistry,NCA,150,500,0.3,100,20260702,62,44,19.0,13.38,10,17,0.0,0.7618275250545337,-0.0889969462842504,2.9498216039529144,3.047178631760184,1.722425494431573,3.9772633713225622,0.5822401149777757,0.9267634428264216,0.6104344441661422,0.3163289986602792,0.5822401149777757
chemistry,NCA,150,800,0.3,100,20260702,62,61,19.0,18.69,18,19,0.69,0.7968145308445931,0.0279342458301757,3.282700105797278,3.3092743274111123,1.752987772498798,4.641442566814222,0.5519305016890734,0.5817148135461132,0.4283579028190686,0.1533569107270444,0.5519305016890734
chemistry,NCA,150,1000,0.3,100,20260702,62,62,19.0,19.0,19,19,1.0,0.8100700997537987,0.01260987341281,3.4384115513496982,3.443692709436265,2.196753404269037,4.585300042213555,0.5392883908469351,0.5450782139744154,0.5450782139744154,0.0,0.5392883908469351
chemistry,NCA,200,500,0.3,100,20260702,51,33,16.0,10.64,7,13,0.0,0.4788314183786423,0.073308341428519,1.2181000419565249,1.2132293954721176,0.4624618218960309,1.9909668556710125,0.9060632608092352,0.8245991350080084,0.7635812100010171,0.0610179250069915,0.906063260809235
chemistry,NCA,200,800,0.3,100,20260702,51,50,16.0,15.78,15,16,0.78,0.539808739884105,0.1946966852506877,1.6144472016419966,1.629906762665005,0.8355788374025546,2.4312352442143097,0.7870241821484206,0.4465742818073518,0.3705998481078215,0.0759744336995303,0.7870241821484206
chemistry,NCA,200,1000,0.3,100,20260702,51,51,16.0,16.0,16,16,1.0,0.5485549871550417,0.1906211419520438,1.6183936798583365,1.549180978271707,0.8937068244740494,2.6126683944222315,0.7860640110748385,0.4032979414222475,0.4032979414222475,0.0,0.7860640110748385
chemistry,NCA,300,500,0.3,100,20260702,47,29,15.0,9.06,5,12,0.0,0.5357679737952168,-0.3132978832934961,1.3489574228561745,1.3696216405195178,0.8279601731535937,1.8786409267717403,0.86099549456479,0.8835066456738057,0.7370841403660736,0.1464225053077319,0.86099549456479
chemistry,NCA,300,800,0.3,100,20260702,47,46,15.0,14.67,14,15,0.67,0.6352371752936892,-0.1186243973033995,2.035981639118769,2.0892715907529755,1.297257953728853,2.793063419526117,0.7008306249938101,0.6397023116579729,0.4517997689014523,0.1879025427565207,0.7008306249938101
chemistry,NCA,300,1000,0.3,100,20260702,47,47,15.0,15.0,15,15,1.0,0.6497078291567009,-0.1417340453211426,2.0908908332387632,2.1551357452429167,1.2935555082003505,2.866775593167122,0.6915670941721976,0.5975754928330066,0.5975754928330066,0.0,0.6915670941721976
chemistry,NMC,150,500,0.3,100,20260702,130,41,39.0,12.09,7,19,0.0,0.7636649064091239,-0.1195164044717256,4.367554307330406,4.3670844103126925,3.3372453798695414,5.317491000772988,0.4784987891116444,1.593978511452237,0.6264727190766043,0.9675057923756324,0.4784987891116444
chemistry,NMC,150,800,0.3,100,20260702,115,66,35.0,20.09,16,26,0.0,0.800238439206704,0.233429389731352,5.203477618689131,5.180137914241543,3.8457438951155662,6.327307061745099,0.4383824450209729,0.9000685672681665,0.734397271247487,0.1656712960206793,0.4383824450209729
chemistry,NMC,150,1000,0.3,100,20260702,112,84,34.0,25.51,21,31,0.0,0.8178917559634412,0.3324484121712581,5.6268914518664905,5.515479517477272,4.41317027846619,6.92858502255226,0.4215661497947671,0.7285057165589873,0.5987652108936764,0.1297405056653109,0.42156614979476714
chemistry,NMC,200,500,0.3,100,20260702,123,34,37.0,10.32,6,15,0.0,0.7799050216138345,-0.2008570804326417,3.85422193060497,3.850097302065668,2.903962833683868,4.818530910385255,0.5093679801362415,1.5690390289194958,0.6048599093719451,0.9641791195475504,0.5093679801362415
chemistry,NMC,200,800,0.3,100,20260702,108,59,33.0,18.5,12,23,0.0,0.8127507794171028,0.2228178621224519,4.800536109299877,4.893229961135116,3.8276636836886335,5.667497144740049,0.4564099772124799,0.881234168156159,0.7369041431317617,0.1443300250243974,0.45640997721247994
chemistry,NMC,200,1000,0.3,100,20260702,105,77,32.0,23.49,19,28,0.0,0.801811715779992,0.3591406221292708,4.790045341675756,4.68743534937759,3.660392205176775,5.957345167966456,0.4569094998595502,0.7173882855273813,0.6179484542589379,0.0994398312684433,0.4569094998595502
chemistry,NMC,300,500,0.3,100,20260702,116,27,35.0,8.16,4,14,0.0,0.5434520106018805,-0.5903378979723485,3.5675182637841663,3.5823608208462603,3.002445156707649,4.315706264006173,0.5294401799489868,0.7317696393384305,0.5687174676769573,0.1630521716614731,0.5294401799489868
chemistry,NMC,300,800,0.3,100,20260702,101,52,31.0,16.08,10,21,0.0,0.6246900372145003,-0.0249068138093884,5.18380518659217,5.128510690799786,4.139981564802581,6.139899785583779,0.439213483422244,0.8856824559985461,0.7285458076788125,0.1571366483197336,0.43921348342224403
chemistry,NMC,300,1000,0.3,100,20260702,98,70,30.0,21.88,18,26,0.0,0.6554972225176137,0.2043315530530561,5.09234493154224,5.091851292013875,3.9767412441872754,6.01397436059807,0.4431401429691082,0.7667894898409606,0.6458413078075081,0.1209481820334527,0.4431401429691082
chemistry,NMC/NCA,150,500,0.3,100,20260702,9,6,3.0,2.12,0,3,0.34,0.0699954975842593,0.2509387926239455,0.0078795623570161,0.0058544969660011,0.0006591069571367,0.0205210712791125,11.265460563934584,0.6846435447138812,0.766935843853026,-0.0822922991391448,11.265460563934637
chemistry,NMC/NCA,150,800,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0605298454298427,0.2480521633293924,0.0058797780300232,0.0035264520447486,0.0005515621579628,0.0179136707484097,13.041259430001649,0.3235508457944113,0.3235508457944113,0.0,13.041259430001661
chemistry,NMC/NCA,150,1000,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0643649503938203,0.2517418531755354,0.0065775334485136,0.0040252968445267,0.000568208506958,0.0189529725295851,12.330153049648183,0.3244375327692804,0.3244375327692804,0.0,12.330153049648265
chemistry,NMC/NCA,200,500,0.3,100,20260702,9,6,3.0,2.0,0,3,0.26,0.0773470013557525,0.1925392490887345,0.0090541310439294,0.0068498556384975,0.0011463026391366,0.0232800888941066,10.509368298095316,0.6609889738437157,0.7604626359325599,-0.0994736620888444,10.509368298095337
chemistry,NMC/NCA,200,800,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0693878271765594,0.194117872099662,0.0074636413325599,0.004582012692264,0.0006562011883768,0.0232711438030223,11.575096475866674,0.3547365751805637,0.3547365751805637,0.0,11.575096475866749
chemistry,NMC/NCA,200,1000,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0684772322208652,0.187523480224046,0.0075188046482194,0.0042225100938942,0.0005335540540179,0.0222949007764734,11.532556723371624,0.3530309316218374,0.3530309316218374,0.0,11.532556723371663
chemistry,NMC/NCA,300,500,0.3,100,20260702,9,6,3.0,1.95,0,3,0.23,0.0864638915113997,-0.0331440027990111,0.0104287543046276,0.0075027720212377,0.0012098072957379,0.0270700457657218,9.792279073248128,0.6676669827037949,0.75323104007697,-0.085564057373175,9.79227907324816
chemistry,NMC/NCA,300,800,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0903625005953654,-0.0342497366181621,0.011458364989716,0.0074562001288725,0.0005622642543865,0.0284496728358854,9.341974425229337,0.4798325435703073,0.4798325435703073,0.0,9.341974425229344
chemistry,NMC/NCA,300,1000,0.3,100,20260702,9,9,3.0,3.0,3,3,1.0,0.0964969872652209,-0.0268126246421366,0.0128144832277424,0.0104100632168644,0.0012433649178991,0.0312066034493364,8.833838424113274,0.481951485131493,0.481951485131493,0.0,8.833838424113296
source,BatteryLife SNL,150,500,0.3,100,20260702,60,20,18.0,5.99,1,10,0.0,0.6506007647806694,-0.1664255291821883,2.860838896331363,2.9224471681545774,1.9010068562383395,3.607484716300222,0.5912256930694656,0.8118716645119237,0.7420710135199399,0.0698006509919836,0.5912256930694656
source,BatteryLife SNL,150,800,0.3,100,20260702,48,27,15.0,8.39,5,12,0.0,0.6567211485221278,0.0094286354391861,2.488060519059244,2.507808347340742,1.8070101260723008,3.283155737425822,0.6339712012446708,0.6709518583187656,0.8922147077640245,-0.2212628494452588,0.6339712012446708
source,BatteryLife SNL,150,1000,0.3,100,20260702,47,28,15.0,8.8,5,12,0.0,0.5955011059569149,0.1342002141215131,1.890725890505472,1.9410350893918449,1.053136966292452,2.607913020008092,0.7272533231136422,0.70110880450312,0.9975486921353331,-0.2964398876322134,0.7272533231136422
