law,n,prev,sd_eta,b0,reps,seed,m_eta,folds,n_eff_mean,n_eff_median,n_eff_sd,n_eff_min,n_eff_max,S,one_class_share,same_penalty_CD,same_penalty_CDind,ml_nonconvergence_share,LL_A,LLse_A,BR_A,BRse_A,sdb_A,fix_share_A,LL_B,LLse_B,BR_B,BRse_B,sdb_B,fix_share_B,LL_C,LLse_C,BR_C,BRse_C,sdb_C,fix_share_C,LL_D,LLse_D,BR_D,BRse_D,sdb_D,fix_share_D,LL_Dind,LLse_Dind,BR_Dind,BRse_Dind,sdb_Dind,fix_share_Dind,LL_E,LLse_E,BR_E,BRse_E,sdb_E,fix_share_E,rep_beats_A_B,rep_beats_A_C,rep_beats_A_D,rep_beats_A_E,LL_D_minus_C,LL_D_minus_C_se,LL_Dind_minus_C,LL_Dind_minus_C_se,LL_oracle
normal,25,0.05,0.5,0.7,500,"[20260825, 0]",-4.3258707416264475,3,0.08525818325810305,0.07925194113581532,0.03444460597038768,0.027520809032900544,0.27489960158292714,0.007673236493229277,0.286,0.998,0.994,0.714,0.3449845895038496,0.009816920715082465,0.049631742401184335,0.00015790199631346294,0.0,1.0,0.35163748562761676,0.009629328882446308,0.049543756627129114,0.00013389136406290048,1.4525489841573256,0.0,0.3450534840194129,0.009815277085043709,0.049645835897452445,0.00015862780484765933,0.07323157792117058,0.998,0.3450095153583286,0.009816270262524502,0.04963459178503381,0.00015794761741631458,0.03640592025907271,0.998,0.3450602264078567,0.00981519254777008,0.049630126340736734,0.0001579897572149705,0.0871129468763515,0.992,0.34509009104990196,0.009814896568919419,0.04962651000832349,0.00015879679137600352,0.113076179379374,0.97,0.226,0.0,0.0,0.014,-4.396866108428038e-05,4.396866108428038e-05,6.742388443780445e-06,5.5833567659890494e-05,0.3449845895038496
normal,25,0.05,0.5,1.0,500,"[20260825, 1]",-3.087946961997922,3,0.2933508496133034,0.26808577506111647,0.12266246197850639,0.10051516581869442,1.006574806629683,0.0,0.25,0.998,0.988,0.54,0.3232592678834156,0.009515964278973612,0.04885135603597729,0.0001479953217631185,0.0,1.0,0.3293107586607993,0.00939659960056074,0.049072624380118855,0.00013733072594856384,1.6721498593322803,0.0,0.3232907141920133,0.009515680762878368,0.04886386405205282,0.000153691236143983,0.06276074002774125,0.992,0.3232914596011852,0.009515665950501288,0.048864467720427754,0.00015373495637505293,0.06271596932513825,0.994,0.3230795332873511,0.00951812611443705,0.04879463343890544,0.00013368584088514315,0.0968554108461674,0.994,0.32368496642002526,0.009505972309105182,0.04888407226273551,0.00014746212872981983,0.26248138191235854,0.95,0.458,0.002,0.0,0.01,7.454091719301114e-07,7.454091719301114e-07,-0.00021118090466215405,0.0002551197861983166,0.3232592678834156
normal,25,0.05,0.5,1.25,500,"[20260825, 2]",-2.522696094161743,3,0.4933087362908727,0.4552647975153879,0.19509377726837845,0.1266676404302351,1.3052833593966127,0.030831796018179543,0.264,1.0,0.98,0.41,0.3277618583882721,0.009747644013387425,0.048509643494098795,0.00013345646591569898,0.0,1.0,0.3468201272410801,0.009517981031760436,0.050397275558506906,0.00018247278603697743,2.903680965326619,0.0,0.3281446284442108,0.009739866995206426,0.04860841219572287,0.00014290655027267448,0.23754507991102528,0.986,0.3281446284442108,0.009739866995206426,0.04860841219572287,0.00014290655027267448,0.23754507991102528,0.986,0.3280194348253266,0.009742605711790031,0.04859234531858489,0.0001440270277039536,0.19963782400538022,0.986,0.3290719352226905,0.009718488000645729,0.048704476787890964,0.00013901119677239558,0.4285934334713304,0.91,0.366,0.002,0.002,0.018,0.0,0.0,-0.00012519361888419238,0.00018944715812056629,0.3277618583882721
normal,25,0.05,0.5,1.5,500,"[20260825, 3]",-2.154955254404358,3,0.6996614681732963,0.6575709735580669,0.2505595705020219,0.221282902054673,2.057775811589313,0.17491536704332408,0.276,0.994,0.97,0.37,0.33281084138774225,0.009913146541611755,0.04845443122965057,0.00014640817089392133,0.0,1.0,0.37331057050889377,0.009716400392955994,0.053421466967880644,0.0005232845271667721,3.7955845793119147,0.0,0.3346810347940288,0.00988923521751524,0.04887764663428545,0.00021607800249307123,0.49220907817746745,0.974,0.3346732579075628,0.00988766248226778,0.04889097736078436,0.000214971249180408,0.49069495524826495,0.976,0.33381843293895497,0.00989880701097756,0.04870217325198031,0.00018541414374808346,0.3514848073973511,0.984,0.3375310794625635,0.009890653431941364,0.04947142269450021,0.0002611689264083382,0.7693468615184927,0.834,0.392,0.002,0.0,0.04,-7.77688646600122e-06,0.000279220915471554,-0.0008626018550738377,0.0007857891050334176,0.33281084138774225
normal,25,0.05,0.5,2.0,500,"[20260825, 4]",-1.7143274073490882,3,1.0189688571878064,0.9691487617487069,0.36242898506637145,0.33167676174037547,2.5070589136991055,1.0189688571878064,0.29,0.992,0.962,0.406,0.3358053292078862,0.010174913657092688,0.047864812330709994,0.00013691665060331086,0.0,1.0,0.4207383816980557,0.010654987518595971,0.055392763835061816,0.000712746648637072,6.069095244083753,0.0,0.33707322322848277,0.010162445389161359,0.04826148973871093,0.00021850180964300684,0.43034058582328133,0.96,0.3373196144362522,0.010158829499316444,0.04831057278021291,0.00022692214950500062,0.46803287122408904,0.962,0.3367919463140528,0.010163990317638944,0.04817381619994936,0.00020748837799223715,0.40915078703537394,0.968,0.34492029031476956,0.010150673617642582,0.04960449059558449,0.00039081255257012316,1.2286774437057884,0.822,0.504,0.02,0.014,0.068,0.00024639120776940644,0.0001818414299152359,-0.0002812769144300785,0.0006642354474959842,0.3358053292078862
normal,25,0.05,1.0,0.7,500,"[20260825, 5]",-4.5702985313936075,3,0.3584028206833469,0.30010496023484196,0.23329173525995717,0.07812461517594106,1.8600175211683063,0.03225625386150123,0.298,0.996,0.968,0.54,0.346496781286502,0.010076774222947806,0.05001891512552893,0.0002897480909044357,0.0,1.0,0.36070830574596674,0.00982780453757104,0.05005645304603316,0.00025835237315865794,1.6859683808073533,0.0,0.3470526808078196,0.010063516562519623,0.05003253976451775,0.00029083890853524966,0.14978251516017896,0.976,0.3471179041195831,0.010063021118655448,0.05005822148434883,0.0002956525162184492,0.1788145612463062,0.976,0.34734747261607013,0.010057395962069606,0.05013815259528856,0.00029305124565008004,0.1762629219647471,0.976,0.34900972654424084,0.010021024592973422,0.05017107640417522,0.0002905902355268001,0.4057355851605131,0.814,0.496,0.006,0.006,0.082,6.522331176352347e-05,7.496465296485811e-05,0.0002947918082505822,0.0003169235930388992,0.346496781286502
normal,25,0.05,1.0,1.0,500,"[20260825, 6]",-3.4286548146981763,3,1.0384201764260137,0.8740628056242445,0.620380053863806,0.22018635723775598,4.5573355639981585,0.0,0.26,0.994,0.974,0.396,0.3163996721998154,0.0099532530027722,0.047672508543950824,0.00018942411521342349,0.0,1.0,0.35690408473838886,0.009852322621050883,0.05004443931687439,0.00025976740386353934,3.8816038288112615,0.0,0.3171187126939325,0.00994564338593271,0.047763220279117044,0.00019664767627692356,0.17472084732521084,0.982,0.3170213684258107,0.009947627271959962,0.04775492702001442,0.0001959454338294841,0.16143761800466652,0.984,0.31734599240880873,0.009943122715632809,0.04779538688645368,0.00020125175995001552,0.19869751693533882,0.984,0.31924483287757094,0.009891132399282066,0.04804211733236994,0.0001992609378609765,0.33410445868700306,0.864,0.362,0.002,0.002,0.016,-9.734426812183666e-05,0.00010071258632665252,0.00022727971487626042,0.000655447278842034,0.3163996721998154
normal,25,0.05,1.0,1.25,500,"[20260825, 7]",-2.93543695923504,3,1.6359082042443724,1.3922431270150515,0.8586051304181278,0.31963188339155174,5.1042003343335045,0.10224426276527328,0.276,0.998,0.978,0.396,0.3168402029464741,0.010352774469672076,0.046087649109012585,0.00018823217154274727,0.0,1.0,0.38736223379390916,0.010476984901920864,0.05104614949565833,0.00044557794881568147,5.615906571569247,0.0,0.3183844873926309,0.010370983766680282,0.046292057081485594,0.00023017751460996798,0.26350981405239243,0.982,0.3181835135042189,0.010372048092463754,0.04628925228872419,0.00023011650072965874,0.208930707927684,0.982,0.3194847817903855,0.010380337718475983,0.04643648078996337,0.0002584599993010192,0.27472750847685423,0.982,0.3202364999193112,0.010304551514836243,0.04666201704444035,0.000224267924990136,0.3487308393616076,0.876,0.398,0.002,0.002,0.018,-0.00020097388841203124,0.0002009738884120312,0.0011002943977545432,0.0008922070206418281,0.3168402029464741
normal,25,0.05,1.0,1.5,500,"[20260825, 8]",-2.6303738883853205,3,2.0214378517497527,1.7474599187309363,1.0168503720907858,0.5264424566702574,6.558141059584409,0.5053594629374382,0.23,0.992,0.962,0.442,0.28536031263458006,0.009936938023821201,0.04412578781153144,0.0001987894889442336,0.0,1.0,0.41226329373047904,0.011043384375917778,0.05148034711661185,0.0006508582265068133,7.7767194739997585,0.0,0.2903926722530377,0.01011758522959405,0.044670718991130516,0.00033995878451366276,0.5550933766895871,0.964,0.2880791494405206,0.00993913124221947,0.04446621310083814,0.00023264663326754478,0.4383018917876619,0.966,0.28770854937316936,0.009947558145655344,0.04444656659586917,0.0002420242707783578,0.39154703570086463,0.958,0.29220921760450974,0.010081852045104976,0.045255732869165316,0.0003801199194850885,0.44756684518425816,0.886,0.402,0.008,0.006,0.018,-0.0023135228125172338,0.0018900623614089252,-0.0026841228798684166,0.0019576552173378656,0.28536031263458006
normal,25,0.05,1.0,2.0,500,"[20260825, 9]",-2.2867119154145863,3,2.617237330282773,2.368232813556777,1.147538573456152,0.5897624732832967,6.45731121176654,2.617237330282773,0.264,0.984,0.944,0.532,0.2929552869848748,0.010680181631478169,0.04191198095402658,0.0002454386460909983,0.0,1.0,0.4074139499746129,0.010841796956320038,0.04647468277738641,0.0004738509405233299,8.488936670280749,0.0,0.29549084857101277,0.01066350491798533,0.042164473477993965,0.0002585470971137328,0.8541513629042143,0.93,0.2941191465840926,0.010667311699225298,0.042130906412357144,0.00025623431701767534,0.5429364642577453,0.93,0.29485056916494556,0.010674862108811719,0.04222968991157818,0.00028390963648848794,0.47661534674586487,0.946,0.2936012951959021,0.010687644278658185,0.04229721983151668,0.00028713955344030487,0.3444211160901384,0.874,0.522,0.038,0.038,0.088,-0.0013717019869201117,0.0006165208529229559,-0.0006402794060671428,0.00101554479730771,0.2929552869848748
