alpha,link,beta,exp_beta,converged,n_iter,grad_at_fit
0.0,cloglog,-0.97577304524061,0.3769008794852801,False,1,0.009152210010687778
0.0,logit,-9.952399382100541,4.761325438123585e-05,True,45,-3.1225039914817287e-06
0.0,probit,-6.457551763342378,0.0015686313940288035,True,50,4.409101556079875e-06
0.0001,cloglog,-0.97577304524061,0.3769008794852801,False,1,0.009054632703342502
0.0001,logit,-6.71511537625122,0.0012124461163652992,True,39,-7.115082828468289e-06
0.0001,probit,-4.641486855529935,0.009643348696451072,True,39,-2.853675629133079e-06
0.001,cloglog,-0.97577304524061,0.3769008794852801,False,1,0.008176436964990597
0.001,logit,-3.4513682604149616,0.03170222978299888,True,17,-1.4014588101129988e-06
0.001,probit,-2.8715167691132764,0.056612992586742836,True,27,7.537442892058266e-07
0.01,cloglog,-0.97577304524061,0.3769008794852801,False,1,-0.0006055204462840358
0.01,logit,-1.3571418641300383,0.25739539764937047,True,8,7.2056041688917105e-06
0.01,probit,-1.2142073951309118,0.2969452813206607,True,14,-7.2032831088808535e-06
0.03162277660168379,cloglog,-0.6940949086150466,0.49952636044864623,True,9,2.9578214877368225e-06
0.03162277660168379,logit,-0.7038044630133318,0.4946996525896969,True,8,1.3911788387943602e-07
0.03162277660168379,probit,-0.709984444575812,0.49165184525448835,True,16,-7.36063987538671e-07
0.1,cloglog,-0.29863522805547194,0.7418299588441903,True,10,-3.136310655627028e-07
0.1,logit,-0.2987137780034855,0.7417716904280087,True,7,-1.9007642682034032e-06
0.1,probit,-0.40542863009176006,0.6666909857878235,True,9,-1.044962727458909e-06
