model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
wiener,matr,cycle,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.08813724869303388,0.28072728331976343,0.9804549196315641,0.6126373626373627
gamma,matr,cycle,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.07804501319811198,0.2872302590138162,1.0791464103593744,0.6126373626373627
cloglog hazard model,matr,cycle,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,cycle,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.2989061543964117,0.049747352152134786,0.1902182272156499,0.9697802197802198
wiener,matr,cycle,fair,full,1.0,150,800,38,0,38,19,0.5,0.4657030008952069,0.23851845976248198,0.67158993986902,0.6426592797783934
gamma,matr,cycle,fair,full,1.0,150,800,38,0,38,19,0.5,0.2945850003172528,0.2967478794533855,0.8090830718348029,0.6426592797783934
cloglog hazard model,matr,cycle,fair,full,1.0,150,800,38,0,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,cycle,fair,full,1.0,150,800,38,0,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,cycle,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.677296163262939,0.23920792603176394,0.7018344347413483,0.4545454545454545
gamma,matr,cycle,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.5171578359691753,0.31603239197826244,0.9274711341980981,0.4545454545454545
cloglog hazard model,matr,cycle,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,cycle,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.6705144162359845,0.07665560413798284,0.2506701181752248,0.9545454545454546
wiener,matr,cycle,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.04669833406892464,0.29048876091978276,1.3170100470982382,0.728021978021978
gamma,matr,cycle,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.04322674515900682,0.29237973147078455,1.4245124234996849,0.728021978021978
cloglog hazard model,matr,cycle,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,cycle,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.2865328429221324,0.04217170260672579,0.1533676728881329,0.978021978021978
wiener,matr,cycle,fair,full,1.0,200,800,38,0,38,19,0.5,0.35226971731030016,0.240480922787735,0.665057607033685,0.7423822714681441
gamma,matr,cycle,fair,full,1.0,200,800,38,0,38,19,0.5,0.1843945133268432,0.3350814712449054,0.9736825216754726,0.7423822714681441
cloglog hazard model,matr,cycle,fair,full,1.0,200,800,38,0,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,cycle,fair,full,1.0,200,800,38,0,38,19,0.5,0.5065512125918189,0.0602475817584634,0.2061765345394254,0.9861495844875346
wiener,matr,cycle,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.5918316017641158,0.23712478518525693,0.6761499532006224,0.5590909090909091
