model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
wiener,sixsource,cycle,fair,full,1.0,150,500,433,11,422,116,0.27488151658767773,0.45186996215693437,0.275649971796367,1.8252052490698412,0.6646664412891593
gamma,sixsource,cycle,fair,full,1.0,150,500,433,11,422,116,0.27488151658767773,0.2667507833436407,0.2087124038966397,1.5465914832211578,0.7913286004056795
cloglog hazard model,sixsource,cycle,fair,full,1.0,150,500,433,11,422,116,0.27488151658767773,0.2772740858977246,0.1381496033491461,0.41418052720044257,0.8275298625197205
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,150,500,433,11,422,116,0.27488151658767773,0.19368629407244167,0.20387487100187998,0.6230094671757171,0.6351138156411991
wiener,sixsource,cycle,fair,full,1.0,150,800,392,11,381,178,0.4671916010498688,0.6321351659702797,0.2739029660496805,1.668094493197785,0.7048209442630212
gamma,sixsource,cycle,fair,full,1.0,150,800,392,11,381,178,0.4671916010498688,0.36623563564283185,0.16498730947829116,1.7567381394994592,0.8544722422095533
cloglog hazard model,sixsource,cycle,fair,full,1.0,150,800,392,11,381,178,0.4671916010498688,0.46489011674135766,0.12350159793352801,0.4143687966896419,0.9029445951181713
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,150,800,392,11,381,178,0.4671916010498688,0.2726149906472762,0.2813984593936368,0.808907119028037,0.5545746388443018
wiener,sixsource,cycle,fair,full,1.0,150,1000,357,11,346,198,0.5722543352601156,0.718829616245398,0.2588160945705644,1.4660078313604608,0.7267608517608517
gamma,sixsource,cycle,fair,full,1.0,150,1000,357,11,346,198,0.5722543352601156,0.4475086059443057,0.1490320829115723,1.634411932801053,0.871962871962872
cloglog hazard model,sixsource,cycle,fair,full,1.0,150,1000,357,11,346,198,0.5722543352601156,0.5685379897102341,0.09288549847312363,0.3863567992889788,0.9372440622440622
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,150,1000,357,11,346,198,0.5722543352601156,0.31710210398713223,0.3221636221949357,0.9105711950480126,0.48788561288561294
wiener,sixsource,cycle,fair,full,1.0,200,500,414,9,405,98,0.2419753086419753,0.4254158260786438,0.2650519155011318,1.6989193336872597,0.6939440271222495
gamma,sixsource,cycle,fair,full,1.0,200,500,414,9,405,98,0.2419753086419753,0.21329518056518254,0.1859150012447241,1.5579770323263051,0.7887721863989896
cloglog hazard model,sixsource,cycle,fair,full,1.0,200,500,414,9,405,98,0.2419753086419753,0.2420586579664955,0.12985223479792382,0.3856772539545156,0.8418865917702585
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,200,500,414,9,405,98,0.2419753086419753,0.1732179977289034,0.1716534777834182,0.5172914061782434,0.7378514923884864
wiener,sixsource,cycle,fair,full,1.0,200,800,373,8,365,156,0.4273972602739726,0.6245399184466253,0.2594485643539062,1.6111878247858629,0.7416574653416759
gamma,sixsource,cycle,fair,full,1.0,200,800,373,8,365,156,0.4273972602739726,0.31559738425360934,0.16786309690295995,1.8173427867883414,0.8668261562998405
