model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
wiener,matr,cycle,fair,full,1.0,150,500,0.0002951601642581414,1.8680948150692922e-08,2.994227488441891e-06,-9907.797198030172,True,97,,,,,
gamma,matr,cycle,fair,full,1.0,150,500,,,,-11805.174981520518,True,97,0.040012316026614723,2.9241626144492106,0.01656956589023052,25.0,0.00022672703068827045
wiener,matr,cycle,fair,full,1.0,150,800,0.00029625177435831096,1.9386591428948323e-08,3.0318907965262584e-06,-9619.313416940136,True,94,,,,,
gamma,matr,cycle,fair,full,1.0,150,800,,,,-11484.948214301401,False,94,0.03986126783675611,2.8295431510923437,0.016052760554691417,25.0,0.00022614371077636384
wiener,matr,cycle,fair,full,1.0,150,1000,0.0003111599005381683,2.2405835214743935e-08,3.2082699112177845e-06,-8055.430051660347,True,80,,,,,
gamma,matr,cycle,fair,full,1.0,150,1000,,,,-9653.595880332938,True,80,0.04087836903388343,2.40514068773132,0.013476891905602691,25.0,0.0002290566051113789
wiener,matr,cycle,fair,full,1.0,200,500,0.0002951601642581414,1.8680948150692922e-08,2.994227488441891e-06,-9907.797198030172,True,97,,,,,
gamma,matr,cycle,fair,full,1.0,200,500,,,,-11805.174981520518,True,97,0.040012316026614723,2.9241626144492106,0.01656956589023052,25.0,0.00022672703068827045
wiener,matr,cycle,fair,full,1.0,200,800,0.00029625177435831096,1.9386591428948323e-08,3.0318907965262584e-06,-9619.313416940136,True,94,,,,,
gamma,matr,cycle,fair,full,1.0,200,800,,,,-11484.948214301401,False,94,0.03986126783675611,2.8295431510923437,0.016052760554691417,25.0,0.00022614371077636384
wiener,matr,cycle,fair,full,1.0,200,1000,0.0003111599005381683,2.2405835214743935e-08,3.2082699112177845e-06,-8055.430051660347,True,80,,,,,
gamma,matr,cycle,fair,full,1.0,200,1000,,,,-9653.595880332938,True,80,0.04087836903388343,2.40514068773132,0.013476891905602691,25.0,0.0002290566051113789
wiener,matr,cycle,fair,full,1.0,300,500,0.00028477330565718353,1.4951284118574985e-08,2.9635619487383933e-06,-9875.304688254053,True,95,,,,,
gamma,matr,cycle,fair,full,1.0,300,500,,,,-11760.932720850024,True,95,0.0398511025863746,2.977384409509193,0.016753896526815172,25.0,0.0002242442215654905
wiener,matr,cycle,fair,full,1.0,300,800,0.000285524150395759,1.552089004026368e-08,3.00072497717645e-06,-9586.342028141706,True,92,,,,,
gamma,matr,cycle,fair,full,1.0,300,800,,,,-11440.715691058413,False,92,0.039696031762962505,2.879550686436566,0.016218149153988642,25.0,0.00022357521504505696
wiener,matr,cycle,fair,full,1.0,300,1000,0.00029876034776065926,1.8039965235799576e-08,3.172982578769633e-06,-8020.21679265972,True,78,,,,,
gamma,matr,cycle,fair,full,1.0,300,1000,,,,-9609.050591168862,True,78,0.04067755339799155,2.4374049426745246,0.01354010441198268,25.0,0.000225969148822865
wiener,matr,normalised,fair,full,1.0,150,500,0.23258620882406084,0.011599827599848053,0.00235945124387741,-9907.797198030172,True,97,,,,,
gamma,matr,normalised,fair,full,1.0,150,500,,,,-11805.174981520517,True,97,31.529706139662537,2.92416233767254,0.016569562712698743,0.03172588832487311,0.1786608891248928
wiener,matr,normalised,fair,full,1.0,150,800,0.2334463973459468,0.012037987940736777,0.002389130028916403,-9619.313416940136,True,94,,,,,
gamma,matr,normalised,fair,full,1.0,150,800,,,,-11484.948214301397,True,94,31.410678926499717,2.8295425805079724,0.01605275749646088,0.03172588832487311,0.17820124534608447
wiener,matr,normalised,fair,full,1.0,150,1000,0.24519401191284365,0.013912768679365655,0.0025281167204811894,-8055.430051660345,True,80,,,,,
gamma,matr,normalised,fair,full,1.0,150,1000,,,,-9653.595880332938,True,80,32.21215500017711,2.4051409294951602,0.013476892941969963,0.03172588832487311,0.1804966016933782
wiener,matr,normalised,fair,full,1.0,200,500,0.23258620882406084,0.011599827599848053,0.00235945124387741,-9907.797198030172,True,97,,,,,
gamma,matr,normalised,fair,full,1.0,200,500,,,,-11805.174981520517,True,97,31.529706139662537,2.92416233767254,0.016569562712698743,0.03172588832487311,0.1786608891248928
wiener,matr,normalised,fair,full,1.0,200,800,0.2334463973459468,0.012037987940736777,0.002389130028916403,-9619.313416940136,True,94,,,,,
gamma,matr,normalised,fair,full,1.0,200,800,,,,-11484.948214301397,True,94,31.410678926499717,2.8295425805079724,0.01605275749646088,0.03172588832487311,0.17820124534608447
wiener,matr,normalised,fair,full,1.0,200,1000,0.24519401191284365,0.013912768679365655,0.0025281167204811894,-8055.430051660345,True,80,,,,,
gamma,matr,normalised,fair,full,1.0,200,1000,,,,-9653.595880332938,True,80,32.21215500017711,2.4051409294951602,0.013476892941969963,0.03172588832487311,0.1804966016933782
wiener,matr,normalised,fair,full,1.0,300,500,0.22440137588083856,0.009283907610114953,0.002335286751555458,-9875.304688254053,True,95,,,,,
gamma,matr,normalised,fair,full,1.0,300,500,,,,-11760.932720850022,True,95,31.402667404689836,2.977383073005674,0.01675388806690248,0.03172588832487311,0.17670442862067617
wiener,matr,normalised,fair,full,1.0,300,800,0.2249930049202814,0.009637600762431756,0.0023645713425977342,-9586.342028141706,False,92,,,,,
gamma,matr,normalised,fair,full,1.0,300,800,,,,-11440.715691058414,True,92,31.2804734667898,2.8795509002653565,0.016218151438818596,0.03172588832487311,0.1761772836575294
wiener,matr,normalised,fair,full,1.0,300,1000,0.23542315456027665,0.011201806931924702,0.0025003102050200066,-8020.216792659719,True,78,,,,,
gamma,matr,normalised,fair,full,1.0,300,1000,,,,-9609.050591168862,True,78,32.05391216795148,2.4374056058107234,0.013540106984501536,0.03172588832487311,0.17806367515985025
wiener,matr,cycle,published,full,1.0,150,500,0.0002951601642581414,1.8680948150692922e-08,2.994227488441891e-06,-9907.797198030172,True,97,,,,,
gamma,matr,cycle,published,full,1.0,150,500,,,,-11805.174981520518,True,97,0.040012316026614723,2.9241626144492106,0.01656956589023052,25.0,0.00022672703068827045
wiener,matr,cycle,published,full,1.0,150,800,0.00029625177435831096,1.9386591428948323e-08,3.0318907965262584e-06,-9619.313416940136,True,94,,,,,
gamma,matr,cycle,published,full,1.0,150,800,,,,-11484.948214301401,False,94,0.03986126783675611,2.8295431510923437,0.016052760554691417,25.0,0.00022614371077636384
wiener,matr,cycle,published,full,1.0,150,1000,0.0003111599005381683,2.2405835214743935e-08,3.2082699112177845e-06,-8055.430051660347,True,80,,,,,
gamma,matr,cycle,published,full,1.0,150,1000,,,,-9653.595880332938,True,80,0.04087836903388343,2.40514068773132,0.013476891905602691,25.0,0.0002290566051113789
wiener,matr,cycle,published,full,1.0,200,500,0.0002951601642581414,1.8680948150692922e-08,2.994227488441891e-06,-9907.797198030172,True,97,,,,,
gamma,matr,cycle,published,full,1.0,200,500,,,,-11805.174981520518,True,97,0.040012316026614723,2.9241626144492106,0.01656956589023052,25.0,0.00022672703068827045
wiener,matr,cycle,published,full,1.0,200,800,0.00029625177435831096,1.9386591428948323e-08,3.0318907965262584e-06,-9619.313416940136,True,94,,,,,
gamma,matr,cycle,published,full,1.0,200,800,,,,-11484.948214301401,False,94,0.03986126783675611,2.8295431510923437,0.016052760554691417,25.0,0.00022614371077636384
wiener,matr,cycle,published,full,1.0,200,1000,0.0003111599005381683,2.2405835214743935e-08,3.2082699112177845e-06,-8055.430051660347,True,80,,,,,
gamma,matr,cycle,published,full,1.0,200,1000,,,,-9653.595880332938,True,80,0.04087836903388343,2.40514068773132,0.013476891905602691,25.0,0.0002290566051113789
wiener,matr,cycle,published,full,1.0,300,500,0.0002951601642581414,1.8680948150692922e-08,2.994227488441891e-06,-9907.797198030172,True,97,,,,,
gamma,matr,cycle,published,full,1.0,300,500,,,,-11805.174981520518,True,97,0.040012316026614723,2.9241626144492106,0.01656956589023052,25.0,0.00022672703068827045
wiener,matr,cycle,published,full,1.0,300,800,0.00029625177435831096,1.9386591428948323e-08,3.0318907965262584e-06,-9619.313416940136,True,94,,,,,
gamma,matr,cycle,published,full,1.0,300,800,,,,-11484.948214301401,False,94,0.03986126783675611,2.8295431510923437,0.016052760554691417,25.0,0.00022614371077636384
wiener,matr,cycle,published,full,1.0,300,1000,0.0003111599005381683,2.2405835214743935e-08,3.2082699112177845e-06,-8055.430051660347,True,80,,,,,
gamma,matr,cycle,published,full,1.0,300,1000,,,,-9653.595880332938,True,80,0.04087836903388343,2.40514068773132,0.013476891905602691,25.0,0.0002290566051113789
wiener,matr,normalised,published,full,1.0,150,500,0.23258620882406084,0.011599827599848053,0.00235945124387741,-9907.797198030172,True,97,,,,,
gamma,matr,normalised,published,full,1.0,150,500,,,,-11805.174981520517,True,97,31.529706139662537,2.92416233767254,0.016569562712698743,0.03172588832487311,0.1786608891248928
wiener,matr,normalised,published,full,1.0,150,800,0.2334463973459468,0.012037987940736777,0.002389130028916403,-9619.313416940136,True,94,,,,,
gamma,matr,normalised,published,full,1.0,150,800,,,,-11484.948214301397,True,94,31.410678926499717,2.8295425805079724,0.01605275749646088,0.03172588832487311,0.17820124534608447
wiener,matr,normalised,published,full,1.0,150,1000,0.24519401191284365,0.013912768679365655,0.0025281167204811894,-8055.430051660345,True,80,,,,,
