model,corpus,timescale,variant,window,power,fold,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
wiener,sixsource,cycle,fair,full,1.0,0,150,500,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,150,500,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,150,500,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,150,500,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,150,500,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,150,500,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,150,500,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,150,500,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,150,500,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,150,500,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,150,800,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,150,800,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,150,800,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,150,800,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,150,800,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,150,800,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,150,800,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,150,800,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,150,800,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,150,800,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,150,1000,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,150,1000,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,150,1000,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,150,1000,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,150,1000,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,150,1000,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,150,1000,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,150,1000,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,150,1000,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,150,1000,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,200,500,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,200,500,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,200,500,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,200,500,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,200,500,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,200,500,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,200,500,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,200,500,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,200,500,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,200,500,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,200,800,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,200,800,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,200,800,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,200,800,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,200,800,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,200,800,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,200,800,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,200,800,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,200,800,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,200,800,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,200,1000,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,200,1000,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,200,1000,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,200,1000,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,200,1000,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,200,1000,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,200,1000,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,200,1000,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
wiener,sixsource,cycle,fair,full,1.0,4,200,1000,0.0001823200096093706,1.5493123247252713e-18,3.648045198203956e-05,-27239.92422377032,False,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,4,200,1000,,,,-52470.45731034408,True,385,0.0854204162680623,1.8829491094377886,0.004425830381295104,25.0,0.00020077880576121614
wiener,sixsource,cycle,fair,full,1.0,0,300,500,0.6068681308565476,4.046979776426151e-21,84.32857602105904,-6228469.480265126,True,384,,,,,
gamma,sixsource,cycle,fair,full,1.0,0,300,500,,,,-52643.54074974214,True,384,0.08385583638330321,1.9818457733786596,0.004792425743853212,25.0,0.00020277706492295334
wiener,sixsource,cycle,fair,full,1.0,1,300,500,0.00018014377647407922,1.4808436223203037e-16,3.7774259701970054e-05,-27011.4194160071,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,1,300,500,,,,-52520.408090533165,True,385,0.08215817024751924,1.9904711317111037,0.004893121387865354,25.0,0.00020196720948192427
wiener,sixsource,cycle,fair,full,1.0,2,300,500,0.00017939849035093997,6.133854978002044e-18,4.063873114090503e-05,-26527.723963026536,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,2,300,500,,,,-53225.14246422464,False,385,0.08397215600381998,1.844050632576707,0.0044002135326753795,25.0,0.00020037162249695814
wiener,sixsource,cycle,fair,full,1.0,3,300,500,0.00018169783175579513,6.008258276748509e-17,2.938598101285882e-05,-28670.41098853354,True,385,,,,,
gamma,sixsource,cycle,fair,full,1.0,3,300,500,,,,-53255.977046644024,True,385,0.08429759066275629,1.866924500295868,0.004348635446497782,25.0,0.00019635474854624673
